Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Source
1999-05-04 00:00:00-04:00,52.313524263154974,53.17394407011476,48.183509189748,48.44163513183594,22320900,0.0,0.0,MarketWatch (via proxy)
1999-05-05 00:00:00-04:00,48.09746678440308,48.09746678440308,45.602249366249794,47.581214904785156,7565700,0.0,0.0,MarketWatch (via proxy)
1999-05-06 00:00:00-04:00,46.806811096696755,47.753272350490256,46.161496605473914,46.763790130615234,2905700,0.0,0.0,MarketWatch (via proxy)
1999-05-07 00:00:00-04:00,46.763814167067736,51.53914385662111,45.946415391378416,51.022891998291016,4862300,0.0,0.0,MarketWatch (via proxy)
1999-05-10 00:00:00-04:00,50.50662495877024,50.59266690929625,48.35557619561988,48.65672302246094,2589400,0.0,0.0,MarketWatch (via proxy)
1999-05-11 00:00:00-04:00,48.183498686393804,49.0008973248237,47.83933083863385,48.61370849609375,1839800,0.0,0.0,MarketWatch (via proxy)
1999-05-12 00:00:00-04:00,48.87184236487564,51.53914362070512,47.58121272495815,50.592681884765625,2659300,0.0,0.0,MarketWatch (via proxy)
1999-05-13 00:00:00-04:00,50.42059972487791,51.79727138972099,49.90434785056175,50.37757873535156,1142900,0.0,0.0,MarketWatch (via proxy)
1999-05-14 00:00:00-04:00,49.043925447540424,49.732261243295376,47.53819089432646,48.31256866455078,2058400,0.0,0.0,MarketWatch (via proxy)
1999-05-17 00:00:00-04:00,47.5812016679941,48.355579271994,46.8068240639942,47.23703384399414,2075000,0.0,0.0,MarketWatch (via proxy)
1999-05-18 00:00:00-04:00,46.978907975994176,48.484642205993985,46.89286601999419,47.23703384399414,1407100,0.0,0.0,MarketWatch (via proxy)
1999-05-19 00:00:00-04:00,47.753302365192106,48.05444931704467,47.32309243397416,47.71028137207031,727400,0.0,0.0,MarketWatch (via proxy)
1999-05-20 00:00:00-04:00,47.882359244923705,48.269548133696674,47.06496047973633,47.06496047973633,520800,0.0,0.0,MarketWatch (via proxy)
1999-05-21 00:00:00-04:00,46.89284847400806,47.36607905493842,46.46263885498046,46.46263885498047,936200,0.0,0.0,MarketWatch (via proxy)
1999-05-24 00:00:00-04:00,46.118494820480706,46.290578756378025,44.74182333330218,44.95692825317383,1493000,0.0,0.0,MarketWatch (via proxy)
1999-05-25 00:00:00-04:00,44.13952958306601,45.38713811903961,44.05348761506783,44.39765548706055,1662400,0.0,0.0,MarketWatch (via proxy)
1999-05-26 00:00:00-04:00,45.17202440476576,45.860360014743144,43.408164404198715,45.47317123413086,1602900,0.0,0.0,MarketWatch (via proxy)
1999-05-27 00:00:00-04:00,44.741812280183346,46.634735107421875,44.526707413451696,46.634735107421875,1220500,0.0,0.0,MarketWatch (via proxy)
1999-05-28 00:00:00-04:00,46.634727232370665,47.366083655756555,46.11847563939239,46.763790130615234,901900,0.0,0.0,MarketWatch (via proxy)
1999-06-01 00:00:00-04:00,45.860362861729875,45.860362861729875,43.752334925308894,44.18254470825195,953900,0.0,0.0,MarketWatch (via proxy)
1999-06-02 00:00:00-04:00,43.88139928282485,44.09650418127008,42.676811851531625,43.5372314453125,2204300,0.0,0.0,MarketWatch (via proxy)
1999-06-03 00:00:00-04:00,44.05346343934185,44.18252632051179,43.4511699938821,43.79533767700195,852600,0.0,0.0,MarketWatch (via proxy)
1999-06-04 00:00:00-04:00,44.26857489883101,46.11847647380646,44.26857489883101,44.99993133544922,1357400,0.0,0.0,MarketWatch (via proxy)
1999-06-07 00:00:00-04:00,44.870912955044574,46.63477434637423,44.870912955044574,45.38716506958008,891900,0.0,0.0,MarketWatch (via proxy)
1999-06-08 00:00:00-04:00,44.999919195736155,45.215023972006406,43.88137435913086,43.88137435913086,571700,0.0,0.0,MarketWatch (via proxy)
1999-06-09 00:00:00-04:00,44.22553755490834,45.08595657348633,43.79532804561935,45.08595657348633,611400,0.0,0.0,MarketWatch (via proxy)
1999-06-10 00:00:00-04:00,44.65578323003103,44.69880421580177,43.58025858576246,43.6232795715332,664200,0.0,0.0,MarketWatch (via proxy)
1999-06-11 00:00:00-04:00,44.010462221891984,44.26858810002625,42.89191674997684,43.5372314453125,969300,0.0,0.0,MarketWatch (via proxy)
1999-06-14 00:00:00-04:00,43.70931589554767,44.053483737244896,41.644308845364314,42.160560607910156,821100,0.0,0.0,MarketWatch (via proxy)
1999-06-15 00:00:00-04:00,43.27910378444717,43.62327160778274,42.84889400527772,43.19306182861328,831700,0.0,0.0,MarketWatch (via proxy)
1999-06-16 00:00:00-04:00,44.01048414734588,45.04298817426309,44.01048414734588,44.91392517089844,690300,0.0,0.0,MarketWatch (via proxy)
1999-06-17 00:00:00-04:00,44.39764964763935,46.03244682458731,44.39764964763935,44.741817474365234,955700,0.0,0.0,MarketWatch (via proxy)
1999-06-18 00:00:00-04:00,44.225547106309705,44.65575670851116,43.70929558366796,44.612735748291016,613900,0.0,0.0,MarketWatch (via proxy)
1999-06-21 00:00:00-04:00,45.9033920267503,48.14048329703242,45.81735005481638,47.83933639526367,1811000,0.0,0.0,MarketWatch (via proxy)
1999-06-22 00:00:00-04:00,48.26954483985901,48.26954483985901,46.63474742104026,46.80683135986328,1165900,0.0,0.0,MarketWatch (via proxy)
1999-06-23 00:00:00-04:00,46.161509759609515,46.41963562965393,44.655775517683765,44.741817474365234,1351700,0.0,0.0,MarketWatch (via proxy)
1999-06-24 00:00:00-04:00,45.473190794989655,45.77433775389687,44.397665941749594,44.784854888916016,1408900,0.0,0.0,MarketWatch (via proxy)
1999-06-25 00:00:00-04:00,45.08599726838886,45.98943805334703,44.99995528886903,45.60224914550781,1111500,0.0,0.0,MarketWatch (via proxy)
1999-06-28 00:00:00-04:00,45.73131793384821,46.4626748528279,45.258086986273106,45.817359924316406,784600,0.0,0.0,MarketWatch (via proxy)
1999-06-29 00:00:00-04:00,45.43014785372463,47.150986787577835,45.43014785372463,46.634735107421875,629800,0.0,0.0,MarketWatch (via proxy)
1999-06-30 00:00:00-04:00,47.151009635529306,49.732269287109375,45.51621185619526,49.732269287109375,2127600,0.0,0.0,MarketWatch (via proxy)
1999-07-01 00:00:00-04:00,49.1299407501086,49.17296171398786,48.01139568924799,48.74275207519531,813600,0.0,0.0,MarketWatch (via proxy)
1999-07-02 00:00:00-04:00,48.57068197443622,49.0008917350601,47.96838830956278,48.82880783081055,536900,0.0,0.0,MarketWatch (via proxy)
1999-07-06 00:00:00-04:00,48.18349256583139,49.00089110043032,47.66724085976892,48.52766036987305,747600,0.0,0.0,MarketWatch (via proxy)
1999-07-07 00:00:00-04:00,47.8823559775072,48.1835028704475,46.80683135986328,46.80683135986328,648800,0.0,0.0,MarketWatch (via proxy)
1999-07-08 00:00:00-04:00,46.80682100771085,47.4091146603836,46.24754833022901,46.29056930541992,424400,0.0,0.0,MarketWatch (via proxy)
1999-07-09 00:00:00-04:00,46.419632230992654,46.935883933283584,46.29056930541992,46.29056930541992,312700,0.0,0.0,MarketWatch (via proxy)
1999-07-12 00:00:00-04:00,46.80683455388768,47.452149368509296,46.7207925786048,47.06496047973633,547700,0.0,0.0,MarketWatch (via proxy)
1999-07-13 00:00:00-04:00,46.97889760054278,47.28004438003344,46.54868791555612,46.72077178955078,969600,0.0,0.0,MarketWatch (via proxy)
1999-07-14 00:00:00-04:00,46.37662211363505,46.634748025213725,46.33360112837194,46.5487060546875,888200,0.0,0.0,MarketWatch (via proxy)
1999-07-15 00:00:00-04:00,46.806811096696755,46.806811096696755,46.462643368044574,46.763790130615234,864700,0.0,0.0,MarketWatch (via proxy)
1999-07-16 00:00:00-04:00,46.63474858671947,47.32308435921717,46.63474858671947,46.849853515625,476700,0.0,0.0,MarketWatch (via proxy)
