Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Source
1999-05-04 00:00:00-04:00,52.313507784746896,53.17392732068023,48.18349401226688,48.441619873046875,22320900,0.0,0.0,Yahoo Finance
1999-05-05 00:00:00-04:00,48.09745907223031,48.09745907223031,45.602242054171846,47.581207275390625,7565700,0.0,0.0,Yahoo Finance
1999-05-06 00:00:00-04:00,46.806849278763224,47.753311304620574,46.16153426113322,46.76382827758789,2905700,0.0,0.0,Yahoo Finance
1999-05-07 00:00:00-04:00,46.763814167067736,51.53914385662111,45.946415391378416,51.022891998291016,4862300,0.0,0.0,Yahoo Finance
1999-05-10 00:00:00-04:00,50.506656636609954,50.59269864110163,48.35560652431822,48.65675354003906,2589400,0.0,0.0,Yahoo Finance
1999-05-11 00:00:00-04:00,48.18349490545492,49.00089347974389,47.83932708470167,48.613704681396484,1839800,0.0,0.0,Yahoo Finance
1999-05-12 00:00:00-04:00,48.87185710465827,51.53915916494772,47.581227075485955,50.59269714355469,2659300,0.0,0.0,Yahoo Finance
1999-05-13 00:00:00-04:00,50.42058063510338,51.79725177872395,49.904328956245664,50.377559661865234,1142900,0.0,0.0,Yahoo Finance
1999-05-14 00:00:00-04:00,49.043909957763454,49.73224553611803,47.538175880112824,48.31255340576172,2058400,0.0,0.0,Yahoo Finance
1999-05-17 00:00:00-04:00,47.58121319546726,48.355590987075225,46.80683540385929,47.23704528808594,2075000,0.0,0.0,Yahoo Finance
1999-05-18 00:00:00-04:00,46.97891935754995,48.484653952343216,46.89287738070462,47.23704528808594,1407100,0.0,0.0,Yahoo Finance
1999-05-19 00:00:00-04:00,47.75330618332914,48.054453159260035,47.323096217713555,47.71028518676758,727400,0.0,0.0,Yahoo Finance
1999-05-20 00:00:00-04:00,47.88235148302598,48.26954030903427,47.0649528503418,47.0649528503418,520800,0.0,0.0,Yahoo Finance
1999-05-21 00:00:00-04:00,46.89286002406368,47.36609072155423,46.46265029907227,46.462650299072266,936200,0.0,0.0,Yahoo Finance
1999-05-24 00:00:00-04:00,46.118506560257174,46.29059053995963,44.741834722637556,44.956939697265625,1493000,0.0,0.0,Yahoo Finance
1999-05-25 00:00:00-04:00,44.13951820550963,45.38712641989538,44.05347625968992,44.39764404296875,1662400,0.0,0.0,Yahoo Finance
